web-scraper-order,web-scraper-start-url,computer_condition,brand,price,processor_ram_storage,address,link_image-src
"1732650833-1","https://www.expat-dakar.com/ordinateurs?page=250","Neuf","Toshiba","18 000 F Cfa","Disk HDD 500G ou 1T","Dieuppeul,
                                                                                Dakar",""
"1732650833-2","https://www.expat-dakar.com/ordinateurs?page=250","Réconditionné","Dell","200 000 F Cfa","DELL 5Ghz.16go.2go graphique","Gueule-Tapée,
                                                                                Dakar",""
"1732650833-3","https://www.expat-dakar.com/ordinateurs?page=250","D'occasion","Dell","40 000 F Cfa","Core2.250go.19.Ordinateur Complet","Gueule-Tapée,
                                                                                Dakar",""
"1732650833-4","https://www.expat-dakar.com/ordinateurs?page=250","D'occasion","Dell","350 000 F Cfa","Dell Gtx1050Ti 16go Xeon 24""","Gueule-Tapée,
                                                                                Dakar",""
"1732650833-5","https://www.expat-dakar.com/ordinateurs?page=250","Neuf","HP","575 000 F Cfa","HP - Hewlett Packard ALL-IN-ONE  core i5","Gueule-Tapée,
                                                                                Dakar",""
"1732650833-6","https://www.expat-dakar.com/ordinateurs?page=250","Neuf","","18 000 F Cfa","Extension de portée WiFi AC1200Mbps","Grand-Dakar,
                                                                                Dakar",""
"1732650833-7","https://www.expat-dakar.com/ordinateurs?page=250","Neuf","","14 000 F Cfa","Manette Ps4 - DualShock 4 v2","Grand-Dakar,
                                                                                Dakar",""
"1732650833-8","https://www.expat-dakar.com/ordinateurs?page=250","Neuf","Samsung","579 000 F Cfa","S24 ultra","Hann maristes,
                                                                                Dakar",""
"1732650833-9","https://www.expat-dakar.com/ordinateurs?page=250","Venant","Samsung","499 900 F Cfa","S24 ultra","Hann maristes,
                                                                                Dakar",""
"1732650833-10","https://www.expat-dakar.com/ordinateurs?page=250","Venant","MSI","435 000 F Cfa","GAMER MSI Prestige blanc","Hlm,
                                                                                Dakar",""
"1732650833-11","https://www.expat-dakar.com/ordinateurs?page=250","Neuf","Samsung","410 000 F Cfa","Fold 4 512giga","Hann maristes,
                                                                                Dakar",""
"1732650833-12","https://www.expat-dakar.com/ordinateurs?page=250","Neuf","Apple","","iMac 27''","Médina,
                                                                                Dakar",""
"1732650833-13","https://www.expat-dakar.com/ordinateurs?page=250","Neuf","Lenovo","150 000 F Cfa","LENOVO","Médina,
                                                                                Dakar",""
"1732650833-14","https://www.expat-dakar.com/ordinateurs?page=250","Venant","Apple","315 000 F Cfa","promo Mac book air rose gold M1 
ssd 256go 
Ram 8go","Hlm,
                                                                                Dakar",""
"1732650833-15","https://www.expat-dakar.com/ordinateurs?page=250","Neuf","iPhone","55 000 F Cfa","iphone 7 plus","Médina,
                                                                                Dakar",""
"1732650833-16","https://www.expat-dakar.com/ordinateurs?page=250","Neuf","iPhone","60 000 F Cfa","✅ iPhone 7 Plus- 32Go- NEUF","Médina,
                                                                                Dakar",""
"1732650833-17","https://www.expat-dakar.com/ordinateurs?page=250","Venant","HP","250 000 F Cfa","HP spectre x360 convertible","Hann maristes,
                                                                                Dakar",""
"1732650843-18","https://www.expat-dakar.com/ordinateurs?page=249","Venant","HP","200 000 F Cfa","HP ProBook 650 G2 i7","Médina,
                                                                                Dakar",""
"1732650843-19","https://www.expat-dakar.com/ordinateurs?page=249","Venant","Lenovo","35 000 F Cfa","Unité central","Médina,
                                                                                Dakar",""
"1732650843-20","https://www.expat-dakar.com/ordinateurs?page=249","D'occasion","Dell","350 000 F Cfa","Core I7.16go.gtx1050.24","Gueule-Tapée,
                                                                                Dakar",""
