web-scraper-order,web-scraper-start-url,details,phone_condition,brand,address,price
"1732655042-1","https://www.expat-dakar.com/telephones?page=197","Samsung Galaxy  Fold 4","Neuf","Samsung","Grand-Dakar,
                                                                                Dakar","475 000 F Cfa"
"1732655042-2","https://www.expat-dakar.com/telephones?page=197","iPhone 14 Pro Max 256 giga","D'occasion","iPhone","Keur Massar,
                                                                                Dakar","450 000 F Cfa"
"1732655042-3","https://www.expat-dakar.com/telephones?page=197","Samsung Galaxy A53 5G - 128Gb","Neuf","Samsung","Mermoz,
                                                                                Dakar","255 000 F Cfa"
"1732655042-4","https://www.expat-dakar.com/telephones?page=197","Samsung Galaxy A03 Core - 32Gb","Neuf","Samsung","Mermoz,
                                                                                Dakar","55 000 F Cfa"
"1732655042-5","https://www.expat-dakar.com/telephones?page=197","Samsung Galaxy S22 Ultra Étui Clear View","Neuf","Samsung","Mermoz,
                                                                                Dakar","30 000 F Cfa"
"1732655042-6","https://www.expat-dakar.com/telephones?page=197","Samsung Galaxy S22 Couvercle en Led","Neuf","Samsung","Mermoz,
                                                                                Dakar","30 000 F Cfa"
"1732655042-7","https://www.expat-dakar.com/telephones?page=197","Samsung Galaxy A13 - 128Gb","Neuf","Samsung","Mermoz,
                                                                                Dakar","120 000 F Cfa"
"1732655042-8","https://www.expat-dakar.com/telephones?page=197","Téléphone Huawei Nova Y90","Neuf","Huawei","Médina,
                                                                                Dakar","140 000 F Cfa"
"1732655042-9","https://www.expat-dakar.com/telephones?page=197","HUAWEI Y9A","Neuf","Huawei","Médina,
                                                                                Dakar","142 000 F Cfa"
"1732655042-10","https://www.expat-dakar.com/telephones?page=197","Téléphone Tecno Phantom X Ram 8Go Rom 256Go","Neuf","Tecno","Médina,
                                                                                Dakar","290 000 F Cfa"
"1732655042-11","https://www.expat-dakar.com/telephones?page=197","Telephone Samsung Galaxy A03 Core","Neuf","Samsung","Médina,
                                                                                Dakar","63 000 F Cfa"
"1732655042-12","https://www.expat-dakar.com/telephones?page=197","Téléphone Samsung Galaxy A03s","Neuf","Samsung","Médina,
                                                                                Dakar","93 000 F Cfa"
"1732655045-13","https://www.expat-dakar.com/telephones?page=196","Samsung Galaxy  Fold 4","Neuf","Samsung","Grand-Dakar,
                                                                                Dakar","475 000 F Cfa"
"1732655045-14","https://www.expat-dakar.com/telephones?page=196","Iphone 16 Simple","Neuf","iPhone","Plateau,
                                                                                Dakar","700 000 F Cfa"
"1732655045-15","https://www.expat-dakar.com/telephones?page=196","Samsung Galaxy A04s - 32Gb","Neuf","Samsung","Mermoz,
                                                                                Dakar","85 000 F Cfa"
"1732655045-16","https://www.expat-dakar.com/telephones?page=196","Samsung Galaxy A03 - 64Gb","Neuf","Samsung","Mermoz,
                                                                                Dakar","80 000 F Cfa"
"1732655045-17","https://www.expat-dakar.com/telephones?page=196","Samsung Galaxy A03s - 32Gb","Neuf","Samsung","Mermoz,
                                                                                Dakar","65 000 F Cfa"
"1732655045-18","https://www.expat-dakar.com/telephones?page=196","Samsung Galaxy A04e - 32Gb","Neuf","Samsung","Mermoz,
                                                                                Dakar","55 000 F Cfa"
"1732655045-19","https://www.expat-dakar.com/telephones?page=196","Samsung Galaxy A04 - 32Gb","Neuf","Samsung","Mermoz,
                                                                                Dakar","69 999 F Cfa"
"1732655045-20","https://www.expat-dakar.com/telephones?page=196","Samsung Galaxy A04 - 64Gb","Neuf","Samsung","Mermoz,
                                                                                Dakar","75 000 F Cfa"
"1732655045-21","https://www.expat-dakar.com/telephones?page=196","Samsung Galaxy A04e - 64Gb","Neuf","Samsung","Mermoz,
                                                                                Dakar","65 000 F Cfa"
"1732655045-22","https://www.expat-dakar.com/telephones?page=196","Tecno Camon 19 - 128Gb","Neuf","Tecno","Mermoz,
                                                                                Dakar","115 000 F Cfa"
"1732655045-23","https://www.expat-dakar.com/telephones?page=196","Samsung Galaxy A03s - 64Gb","Neuf","Samsung","Mermoz,
                                                                                Dakar","87 500 F Cfa"
"1732655045-24","https://www.expat-dakar.com/telephones?page=196","Samsung Galaxy A03 - 32Gb","Neuf","Samsung","Mermoz,
                                                                                Dakar","70 000 F Cfa"
"1732655047-25","https://www.expat-dakar.com/telephones?page=195","Samsung Galaxy  Fold 4","Neuf","Samsung","Grand-Dakar,
                                                                                Dakar","475 000 F Cfa"
"1732655047-26","https://www.expat-dakar.com/telephones?page=195","Iphone 16 Simple","Neuf","iPhone","Plateau,
                                                                                Dakar","700 000 F Cfa"
"1732655047-27","https://www.expat-dakar.com/telephones?page=195","Samsung Galaxy Z Flip4 - 256Gb","Neuf","Samsung","Mermoz,
                                                                                Dakar","650 000 F Cfa"
"1732655047-28","https://www.expat-dakar.com/telephones?page=195","Samsung Galaxy A73 5G 128Gb - 8Go Ram","Neuf","Samsung","Mermoz,
                                                                                Dakar","300 000 F Cfa"
"1732655047-29","https://www.expat-dakar.com/telephones?page=195","Samsung Galaxy A13 - 64Gb","Neuf","Samsung","Mermoz,
                                                                                Dakar","105 000 F Cfa"
"1732655047-30","https://www.expat-dakar.com/telephones?page=195","Téléphone Samsung A23 ram 4 rom 64 go 4G","Neuf","Samsung","Médina,
                                                                                Dakar","115 000 F Cfa"
"1732655047-31","https://www.expat-dakar.com/telephones?page=195","Samsung Galaxy A04e - 128G","Neuf","Samsung","Mermoz,
                                                                                Dakar","80 000 F Cfa"
"1732655047-32","https://www.expat-dakar.com/telephones?page=195","Samsung Galaxy A23 - 64Gb","Neuf","Samsung","Mermoz,
                                                                                Dakar","125 000 F Cfa"
"1732655047-33","https://www.expat-dakar.com/telephones?page=195","Tecno Pop 6 Pro - 32Gb","Neuf","Tecno","Mermoz,
                                                                                Dakar","63 000 F Cfa"
"1732655047-34","https://www.expat-dakar.com/telephones?page=195","Tecno Spark 9 ram 4Go Rom 128Go","Neuf","Tecno","Médina,
                                                                                Dakar","100 000 F Cfa"
"1732655047-35","https://www.expat-dakar.com/telephones?page=195","Huawei Mate XS 2 Dual SIM 512GB + 8GB","Neuf","Huawei","Plateau,
                                                                                Dakar","950 000 F Cfa"
"1732655047-36","https://www.expat-dakar.com/telephones?page=195","Samsung Galaxy A04s - 64Gb","Neuf","Samsung","Mermoz,
                                                                                Dakar","75 000 F Cfa"
"1732655050-37","https://www.expat-dakar.com/telephones?page=194","Samsung Galaxy  Fold 4","Neuf","Samsung","Grand-Dakar,
                                                                                Dakar","475 000 F Cfa"
"1732655050-38","https://www.expat-dakar.com/telephones?page=194","Iphone 16 Simple","Neuf","iPhone","Plateau,
                                                                                Dakar","700 000 F Cfa"
"1732655050-39","https://www.expat-dakar.com/telephones?page=194","Samsung Galaxy A34 5G 128GB+6","Neuf","Samsung","Mermoz,
                                                                                Dakar","195 000 F Cfa"
"1732655050-40","https://www.expat-dakar.com/telephones?page=194","Samsung Galaxy A54 5G 128GB+6","Neuf","Samsung","Mermoz,
                                                                                Dakar","245 000 F Cfa"
"1732655050-41","https://www.expat-dakar.com/telephones?page=194","Samsung Galaxy A14 64GB + 4 Ram","Neuf","Samsung","Mermoz,
                                                                                Dakar","92 000 F Cfa"
"1732655050-42","https://www.expat-dakar.com/telephones?page=194","Chargeur sans fil à induction Qi 10 Watts","Neuf","Autres","Patte d‘oie,
                                                                                Dakar","5 000 F Cfa"
"1732655050-43","https://www.expat-dakar.com/telephones?page=194","Tecno Pop7 Pro 64GB + 4 Ram","Neuf","Tecno","Mermoz,
                                                                                Dakar","65 000 F Cfa"
"1732655050-44","https://www.expat-dakar.com/telephones?page=194","Tecno Pop7 Pro 64GB + 3 Ram","Neuf","Tecno","Mermoz,
                                                                                Dakar","60 000 F Cfa"
"1732655050-45","https://www.expat-dakar.com/telephones?page=194","Tecno Camon 19 128GB + 6 Ram","Neuf","Tecno","Mermoz,
                                                                                Dakar","125 000 F Cfa"
"1732655050-46","https://www.expat-dakar.com/telephones?page=194","Samsung Galaxy A23 128GB","Neuf","Samsung","Mermoz,
                                                                                Dakar","135 000 F Cfa"
"1732655050-47","https://www.expat-dakar.com/telephones?page=194","Samsung Galaxy S23 Ultra 512GB + 12 Ram","Neuf","Samsung","Mermoz,
                                                                                Dakar","850 000 F Cfa"
"1732655050-48","https://www.expat-dakar.com/telephones?page=194","Samsung Galaxy S23 Ultra 256GB + 12 Ram","Neuf","Samsung","Mermoz,
                                                                                Dakar","780 000 F Cfa"
"1732655052-49","https://www.expat-dakar.com/telephones?page=193","Samsung Galaxy  Fold 4","Neuf","Samsung","Grand-Dakar,
                                                                                Dakar","475 000 F Cfa"
"1732655052-50","https://www.expat-dakar.com/telephones?page=193","iPhone 14 Pro Max 256 giga","D'occasion","iPhone","Keur Massar,
                                                                                Dakar","450 000 F Cfa"
"1732655052-51","https://www.expat-dakar.com/telephones?page=193","Samsung Galaxy A24 128 GB + 4 Ram","Neuf","Samsung","Mermoz,
                                                                                Dakar","135 000 F Cfa"
